cause_of_death,category_human
person on outside of special construction vehicle injured in nontraffic accident,none
accident to watercraft causing other injury unspecified watercraft,none
malignant neoplasm overlapping lesion of urinary organs,none
prolymphocytic leukaemia of b-cell type,none
motorcycle rider injured in noncollision transport accident passenger injured in nontraffic accident,none
pedestrian injured in collision with other nonmotor vehicle nontraffic accident,none
other specified disorders of bone density and structure,none
unspecified haemorrhoids without complication until 2013 - then moved to k64,none
measles without complication,none
other specified disorders of white blood cells,none
inhaled anaesthetics,none
other congenital malformations of cardiac chambers and connections,none
hallux valgus acquired,none
congenital malformation of musculoskeletal system unspecified,none
malignant neoplasm external upper lip,oral cavity cancer
toxic shock syndrome,none
epidermal cyst,none
inflammatory disorder of unspecified male genital organ,none
insulin-dependent diabetes mellitus with other specified complications,none
other pneumonia organism unspecified,pulmonary disease
anaemia unspecified,none
infective myocarditis,none
malignant neoplasm of other and ill-defined sites pelvis,none
disorders of galactose metabolism,none
driver of special agricultural vehicle injured in nontraffic accident,none
gilbert syndrome,none
fetus and newborn affected by multiple pregnancy,none
hepatic fibrosis with hepatic sclerosis,none
gout unspecified,none
benign neoplasm retroperitoneum,none
cutaneous abscess furuncle and carbuncle of buttock,none
carbonic-anhydrase inhibitors,none
aneurysm of pulmonary artery,none
other diagnostic agents,none
malignant neoplasm prepuce,none
follicular lymphoma grade ii,none
hypostatic pneumonia unspecified,pulmonary disease
malignant neoplasm myometrium,none
other specified forms of tremor,none
congenital renal artery stenosis,none
pneumonia in parasitic diseases,none
other interstitial pulmonary diseases with fibrosis,pulmonary disease
paralytic syndrome unspecified,none
hereditary motor and sensory neuropathy,none
benign neoplasm trachea,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances residual and late-onset psychotic disorder,none
noninfective disorder of lymphatic vessels and lymph nodes unspecified,none
immunodeficiency unspecified,none
bus occupant injured in noncollision transport accident unspecified bus occupant injured in nontraffic accident,none
anorexia nervosa,none
female pelvic peritoneal adhesions,none
inflammatory myopathy not elsewhere classified,none
plasmodium falciparum malaria unspecified,none
other specified symptoms and signs involving the digestive system and abdomen,none
pneumothorax originating in the perinatal period,none
atherosclerosis of other arteries,none
occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
other specified systemic anti-infectives and antiparasitics,none
status epilepticus unspecified,none
carcinoma in situ rectosigmoid junction,colorectal cancer
pedal cyclist injured in noncollision transport accident driver injured in traffic accident,none
cystocele,none
malignant neoplasm pharynx unspecified,none
atresia of oesophagus without fistula,none
hepatitis a without hepatic coma,none
person injured in unspecified nonmotor-vehicle accident nontraffic,none
accident on board watercraft without accident to watercraft not causing drowning and submersion sailboat,none
localization-related focalpartial symptomatic epilepsy and epileptic syndromes with simple partial seizures,none
mental and behavioural disorders due to use of alcohol amnesic syndrome,none
arthrogryposis multiplex congenita,none
acute bronchitis due to respiratory syncytial virus,none
magnesium deficiency,none
intracerebral haemorrhage in hemisphere cortical,cerebrovascular disease
other generalized epilepsy and epileptic syndromes,none
glossodynia,none
rheumatic myocarditis,none
accident to watercraft causing other injury merchant ship,none
other and unspecified gastroenteritis and colitis of infectious origin,none
pityriasis rubra pilaris,none
other variants of turner syndrome,none
acute amoebic dysentery,none
sleep apnoea,none
idiopathic thrombocytopenic purpura,none
noninflammatory disorder of vagina unspecified,none
congenital and developmental myasthenia,none
chronic obstructive pulmonary disease unspecified,pulmonary disease
neurofibromatosis nonmalignant,none
other and unspecified premature depolarization,none
situs inversus,none
malignant neoplasm eye unspecified,none
neonatal jaundice from other and unspecified hepatocellular damage,none
hypospadias unspecified,none
malignant neoplasm other and unspecified cranial nerves,none
during unspecified surgical and medical care,none
rheumatic mitral insufficiency,none
compression of brain,none
hereditary erythropoietic porphyria,none
secondary malignant neoplasm of mediastinum,none
nephrotic syndrome minor glomerular abnormality,none
other leukaemia of unspecified cell type,none
kaposi sarcoma of skin,none
postmenopausal bleeding,none
leiomyoma of uterus unspecified,none
degeneration of nervous system due to alcohol,none
acne vulgaris,none
malignant neoplasm thoracic part of oesophagus,esophageal cancer
other forms of stomatitis,none
calculus in urethra,none
disorders of other specified cranial nerves,none
lumbar spina bifida without hydrocephalus,none
malignant neoplasm lower third of oesophagus,esophageal cancer
disease of thymus unspecified,none
hang-glider accident injuring occupant,none
unspecified abdominal hernia with gangrene,none
melaena,none
cystic fibrosis with other manifestations,none
pleural condition unspecified,none
ischaemic cardiomyopathy,ischaemic heart disease
benign neoplasm aortic body and other paraganglia,none
craniosynostosis,none
occupant of three-wheeled motor vehicle injured in noncollision transport accident driver injured in traffic accident,none
chronic inflammatory disease of uterus,none
hodgkin lymphoma unspecified,none
bursitis of shoulder,none
carcinoma in situ bladder,bladder cancer
babesiosis,none
laryngocele,none
unspecified nephritic syndrome other,none
congenital stenosis of bronchus,none
malignant neoplasm head of pancreas,pancreatic cancer
myoclonus,none
other specified demyelinating diseases of central nervous system,none
mixed anxiety and depressive disorder,none
occupant of heavy transport vehicle injured in collision with fixed or stationary object driver injured in traffic accident,none
accident to commercial fixed-wing aircraft injuring occupant,none
calculus of kidney,none
neonatal aspiration syndrome unspecified,none
other specified viral encephalitis,none
zoster encephalitis,none
insulin-dependent diabetes mellitus with renal complications,none
discordant atrioventricular connection,none
fetus and newborn affected by other forms of placental separation and haemorrhage,none
haemophagocytic syndrome infection-associated,none
porphyria cutanea tarda,none
disseminated mucormycosis,none
disorders of ornithine metabolism,none
